ID;DEPARTAMENTO;ACCESS POINT;ATA AUDIOCODES;EQUIPO CLIENTE;EQUIPO SERVIDOR;IMPRESORA LASER;MESA PARA TV O IMPRESORA;SKY EDGE WEB ENHANCE;SWITCH 8 PUERTOS;TELEFONO PUBLICO;"TELEVISOR 42""";Total general
50042;CORDOBA;AP1271;AT1371;;ES1370;IM3342;ME2264;SE1521;SW1221;TP1321;TV1391;9
50043;CORDOBA;AP1615;AT1454;;ES1615;IM1464;;SE1265;SW1265;TP1699;TV1565;8
50044;CORDOBA;AP1607;AT1446;;ES1607;IM3200;ME2449;SE1257;SW1257;TP1636;TV1557;9
50045;CORDOBA;AP2849;AT2849;;ES1373;IM2850;ME3814;SE2849;SW2849;;TV2849;8
50046;CORDOBA;AP1268;AT1238;;ES1367;;ME2208;SE1518;SW1613;TP1318;TV1388;8
50047;CORDOBA;AP1273;AT1242;;ES1372;IM3354;ME3813;SE1522;SW1223;TP3304;TV1393;9
50048;CORDOBA;AP1272;AT1243;;ES1371;IM2849;ME2204;SE1523;SW1222;TP1481;TV1392;9
50050;CORDOBA;AP1663;AT1473;;ES1704;IM1253;ME2159;SE1353;SW1507;TP1480;TV1493;9
50051;CORDOBA;AP1511;AT1480;;ES1694;IM3442;;SE1340;SW1580;TP1236;TV1500;8
50058;META;AP1832;AT1832;;ES2539;IM2467;ME2678;SE1842;SW1832;TP2490;TV1832;9
50059;META;AP0004;AT0004;;ES0004;IM0004;ME0004;SE0004;SW0004;TP3149;TV0004;9
50060;META;AP2457;AT2551;;ES2457;IM3219;ME3167;SE2457;SW2457;TP0346;TV2457;9
50061;SUCRE;AP1875;AT1875;;ES3061;IM1875;;SE1875;SW1875;;TV1875;7
50062;SUCRE;AP1873;AT1873;;ES1873;;;SE1873;SW1873;TP2026;TV1873;7
50063;SUCRE;AP1739;AT1739;;ES1739;;;SE1739;SW1739;TP2027;TV1739;7
50064;SUCRE;AP1872;AT1872;;ES1872;IM1872;ME3918;SE1872;SW1872;TP2035;TV1872;9
50065;SUCRE;AP1871;AT1871;;ES1871;IM2927;;SE1871;SW1871;;TV1871;7
50066;SUCRE;AP1825;AT1825;;ES1825;IM1825;;SE1833;SW1825;TP2034;TV1825;8
50067;SUCRE;AP1968;AT1928;;ES3081;IM3415;ME2638;SE1981;SW1964;TP1831;TV1933;9
50068;SUCRE;AP1736;AT1736;;ES1829;IM1736;;SE1736;SW1736;TP2041;TV1736;8
50069;SUCRE;AP1969;AT1829;;ES1828;IM1829;ME2643;SE1837;SW1829;TP1979;TV1934;9
50070;SUCRE;AP1738;AT1844;;ES1738;IM1828;ME3912;SE1738;SW1738;TP2053;TV1738;9
50071;SUCRE;AP1740;AT1740;;ES1740;IM1740;ME3919;SE1740;SW1740;TP2036;TV1740;9
50074;VALLE DEL CAUCA;AP0884;AT1114;;ES1064;;ME1758;SE1154;;TP1194;TV1054;7
50075;VALLE DEL CAUCA;AP1181;AT1056;;ES1162;IM1111;ME3750;SE0864;SW0873;TP1011;TV1111;9
50076;VALLE DEL CAUCA;AP1128;AT0868;;ES1116;IM1177;ME3381;SE1200;SW0968;TP0869;TV1068;9
50078;VALLE DEL CAUCA;AP0876;AT1106;;ES2967;IM0906;ME1852;SE1146;SW1006;TP1131;TV1046;9
50079;VALLE DEL CAUCA;AP1103;AT1035;;ES1203;IM1045;;SE0973;SW1120;TP1145;TV0895;8
50080;VALLE DEL CAUCA;AP1184;AT1064;;ES1163;IM3532;ME3751;SE0865;SW0866;TP1182;TV1114;9
50083;VALLE DEL CAUCA;AP0941;AT0951;;ES1071;IM0991;ME1479;SE0931;SW0951;TP0932;TV0912;9
50084;VALLE DEL CAUCA;AP0945;AT1144;;ES1075;IM0994;ME1820;SE0935;SW0955;TP1181;TV0915;9
50086;CAUCA;AP0008;AT0008;;ES0008;;ME1419;SE0008;SW0488;TP0008;TV0411;8
50093;CAUCA;AP2892;AT0036;;ES3047;IM0036;ME1400;SE0471;SW0036;TP3477;TV0438;9
50096;CAUCA;AP0108;AT0108;;ES0108;;ME1490;SE0108;SW0108;TP0107;TV0108;8
50099;VALLE DEL CAUCA;AP0891;AT1141;;ES1021;IM0951;ME2024;SE0951;SW1051;TP0921;TV0931;9
50100;VALLE DEL CAUCA;AP0878;AT1108;;ES1058;;ME3738;SE1148;SW1008;TP1188;TV1048;8
50101;VALLE DEL CAUCA;AP0862;AT1152;;ES1012;IM0922;ME3711;SE1122;SW0912;;TV0922;8
50102;VALLE DEL CAUCA;AP1068;AT1011;;ES1166;IM1010;ME3733;SE0988;SW1138;TP4315;TV0861;9
50103;VALLE DEL CAUCA;AP1056;AT1049;;ES0863;IM1049;ME1864;SE0888;SW1106;TP1149;TV0889;9
50104;VALLE DEL CAUCA;AP1197;AT1077;;ES1056;IM1127;ME3712;SE0877;SW0894;TP0866;TV1127;9
50105;VALLE DEL CAUCA;AP0989;AT1169;;ES0939;IM0889;ME1962;SE0899;SW1189;TP3593;TV1189;9
50106;CORDOBA;AP1314;AT1254;;ES1364;IM3276;ME2494;SE1514;SW1214;TP1313;TV1403;9
50108;BOLIVAR;AP2394;AT2287;;ES2197;IM2136;ME2985;SE2227;SW2388;;TV2296;8
50109;BOLIVAR;AP2357;AT2257;;ES2167;IM3095;ME2952;SE2207;SW2357;TP2453;TV2357;9
50110;BOLIVAR;AP2360;AT2260;;ES2170;IM2240;ME2955;SE2210;SW2360;TP2270;TV2360;9
50111;CAUCA;AP0427;AT3053;;ES3095;;ME1583;SE0673;SW0573;TP3760;TV0088;8
50112;CAUCA;AP0163;AT0332;;;IM3325;ME1212;SE0163;SW0163;TP0163;TV0163;8
50113;CAUCA;AP0019;AT3210;;ES0019;IM0019;ME3684;SE0019;SW0011;TP3670;TV0423;9
50114;CAUCA;AP0758;AT3121;;ES0757;IM0758;ME1284;SE0835;SW0758;TP0484;TV0757;9
50115;CAUCA;AP0498;AT3205;;ES0088;IM1853;ME3616;SE0678;SW0334;TP0381;TV0080;9
50116;CAUCA;AP0129;AT0129;;ES0129;IM0129;ME3642;SE0129;SW0129;TP0129;TV0129;9
50117;CAUCA;AP0745;AT0744;;ES1038;IM0744;ME1521;SE0745;SW0745;TP3174;TV0949;9
50122;VALLE DEL CAUCA;AP0915;AT1125;;ES1055;IM1152;ME1809;SE0925;SW0925;TP0955;TV0945;9
50123;VALLE DEL CAUCA;AP0936;AT0946;;ES1066;IM0986;ME1848;SE0926;SW0946;TP0926;TV0906;9
50125;VALLE DEL CAUCA;AP0913;AT1123;;ES1053;IM1003;;;SW0923;TP0953;TV0943;7
50126;VALLE DEL CAUCA;AP0886;AT1136;;ES1016;IM0946;ME2021;SE0946;SW1046;TP0916;TV0926;9
50127;VALLE DEL CAUCA;AP0994;AT1174;;ES0944;IM0894;ME3630;SE0904;SW1194;TP0993;TV1194;9
50129;VALLE DEL CAUCA;AP0985;AT1165;;ES0935;IM0885;ME1977;SE1085;SW1185;TP0985;TV1185;9
50131;VALLE DEL CAUCA;AP0995;AT1175;;ES0945;IM0895;ME1964;SE0905;SW1195;TP0994;TV1195;9
50132;VALLE DEL CAUCA;AP0961;AT1201;;ES0912;IM0861;ME3584;SE1061;SW1161;TP0961;TV1161;9
50133;VALLE DEL CAUCA;AP0890;AT1140;;ES1020;IM0950;ME2028;SE0950;SW1050;TP0920;TV0930;9
50134;VALLE DEL CAUCA;AP0905;AT0935;;ES1085;IM0985;ME3710;SE1135;SW1045;TP1165;TV1025;9
50136;CAUCA;AP0421;AT0234;;ES0077;IM0427;ME1576;SE0667;SW0567;TP0417;TV0095;9
50137;CAUCA;AP0420;AT0233;;ES0076;IM0426;ME1575;SE0666;SW0566;TP3347;TV0094;9
50139;CAUCA;AP0128;AT0128;;ES0128;IM0128;;SE0128;SW0128;TP0128;TV0128;8
50140;CAUCA;AP0195;AT0195;;ES0195;IM0195;ME1669;SE0195;SW2953;TP0195;TV0195;9
50142;VALLE DEL CAUCA;AP0910;AT1120;;ES1050;IM1000;ME2005;SE0920;SW0920;TP0950;TV0940;9
50143;VALLE DEL CAUCA;AP0888;AT1138;;ES1018;IM0948;ME2029;SE0948;SW1048;TP0918;TV0928;9
50144;VALLE DEL CAUCA;AP1171;AT1101;;ES0901;IM1141;ME3727;SE1087;SW0901;TP3631;TV1141;9
50145;VALLE DEL CAUCA;AP0990;AT1170;;ES0940;;ME1963;SE0900;SW1190;TP2806;TV1190;8
50146;VALLE DEL CAUCA;AP0893;AT1143;;ES1023;IM0952;ME2030;SE0953;SW1053;TP0923;TV0933;9
50147;VALLE DEL CAUCA;AP1172;AT1102;;ES0902;IM1142;ME3752;SE1088;SW0902;TP1178;TV1142;9
50148;VALLE DEL CAUCA;AP0963;AT1203;;ES0913;IM0863;;SE1063;SW1163;TP2975;TV1163;8
50149;CAUCA;AP0172;AT0172;;ES0172;IM0172;ME1230;SE0379;SW0172;TP3239;TV0172;9
50150;CORDOBA;AP1206;AT1631;;ES1564;IM3597;ME2287;SE1670;SW1528;TP1488;TV1420;9
50151;BOLIVAR;AP2317;AT2317;;ES2327;IM2377;ME3852;SE2116;SW2427;TP2177;TV2227;9
50153;BOLIVAR;AP2452;AT2302;;ES2161;IM2235;ME3147;SE2251;SW2401;TP2446;TV2290;9
50154;BOLIVAR;AP2877;AT2263;;ES2173;;ME2958;SE2213;SW2363;TP2273;TV2953;8
50155;BOLIVAR;AP2282;AT2231;;ES2411;IM2326;;SE2431;SW2181;TP1817;TV2431;8
50156;BOLIVAR;AP2917;AT2174;;ES2106;IM3298;ME3144;SE2193;SW2446;TP2211;TV2274;9
50157;BOLIVAR;AP2278;AT2227;;ES2407;IM2427;ME2912;SE2427;SW2177;TP2127;TV1994;9
50158;BOLIVAR;AP2283;AT2232;;ES2412;IM2432;ME2917;SE2432;SW2182;TP3094;TV2432;9
50159;BOLIVAR;AP2449;AT2300;;ES2157;IM2149;ME3117;SE2245;SW2153;TP2213;TV2286;9
50160;BOLIVAR;AP2381;AT2180;;ES2133;IM2231;ME3095;SE2242;SW2396;TP2450;TV2282;9
50161;BOLIVAR;AP2454;AT2304;;ES2163;IM2151;ME3842;SE2253;SW2403;TP2214;TV2292;9
50162;BOLIVAR;AP2431;AT3056;;ES2111;IM2211;ME2879;SE2190;SW2451;TP2316;TV2270;9
50164;BOLIVAR;AP2382;AT2299;;ES2131;IM2232;ME3113;SE2243;SW2397;TP2348;TV2283;9
50165;CAUCA;AP0493;AT0251;;ES1040;IM2960;ME1634;SE0512;SW0329;TP0399;TV0705;9
50166;CAUCA;AP0131;AT3140;;ES0131;IM3131;ME1310;SE0131;SW0131;TP0565;TV0131;9
50167;CAUCA;AP0415;AT0242;;ES0071;IM0421;ME1554;SE0661;SW0561;TP0443;TV0102;9
50168;CAUCA;AP0515;AT0810;;ES0494;IM0245;ME1536;SE0312;SW0474;;TV0241;8
50169;CAUCA;AP0721;AT0721;;ES0721;IM0721;ME1503;SE0721;SW0721;TP0721;TV0721;9
50170;CAUCA;AP0492;AT3001;;ES0061;IM0411;ME1649;SE0511;SW0328;TP0077;TV0704;9
50171;CAUCA;AP0514;AT0809;;ES0462;IM0244;ME1547;SE0354;SW0473;TP3097;TV0084;9
50172;CAUCA;AP0874;AT0913;;ES1044;IM0943;ME2016;SE1144;SW0934;TP0398;TV0954;9
50173;CAUCA;AP0463;AT0847;;ES0095;IM0435;ME1585;SE0353;SW0313;TP0096;TV0247;9
50174;CAUCA;AP0720;AT0720;;ES0720;IM0720;ME3668;SE0720;SW0720;TP4016;TV0720;9
50175;CAUCA;AP0145;AT3134;;ES2948;IM0146;ME1249;SE0145;SW0146;TP0145;;8
50176;CAUCA;AP2919;AT0136;;ES0802;IM0136;ME1375;SE0136;SW0136;TP0564;TV0136;9
50177;CAUCA;AP0150;AT0150;;ES0150;IM3501;;SE0150;SW0150;TP0384;TV0150;8
50178;CAUCA;AP0198;AT0838;;ES0473;;ME3527;SE0344;SW0323;TP0679;TV0214;8
50179;CAUCA;AP0870;AT0909;;ES0744;IM0940;ME3691;SE1140;SW0930;TP0478;TV0952;9
50180;CAUCA;AP0430;AT3153;;ES0086;IM0437;ME1460;SE0677;SW0577;TP0397;;8
50181;CAUCA;AP0203;AT0203;;ES0203;;;;SW0203;;TV0203;5
50182;CAUCA;AP0719;AT0719;;ES0719;IM0719;ME1379;SE0719;SW0719;TP0719;TV0719;9
50183;CAUCA;AP0419;AT0823;;ES0701;IM0425;ME1574;SE0665;SW2958;TP0415;TV0093;9
50185;CORDOBA;AP1449;AT1349;;ES1298;;ME2108;SE1649;SW1349;;TV1349;7
50186;CORDOBA;AP1443;AT1318;;ES1338;IM1543;ME2111;SE1643;SW1343;;TV1343;8
50187;CORDOBA;AP1471;AT1391;;ES1503;IM1652;ME2466;SE1253;SW1453;TP1441;TV1673;9
50188;META;AP2516;AT2490;;ES2516;IM2516;ME3151;SE2516;SW2516;TP3219;TV2516;9
50189;META;AP0001;AT0001;;ES2515;IM2535;ME3207;SE0001;SW0001;TP2468;TV0001;9
50190;META;AP2545;AT2545;;ES3050;IM2545;ME3240;SE2545;SW2472;TP2545;TV2545;9
50191;META;AP2518;AT2518;;ES2518;IM2518;ME3208;SE2518;SW2518;TP2480;TV2518;9
50192;META;AP2528;AT2528;;ES2528;IM2560;ME3315;SE2528;SW2528;TP2528;TV2528;9
50193;META;;AT3146;;;IM2523;ME3210;SE2494;;;;4
50194;SUCRE;AP1761;AT1849;;ES1765;IM3413;ME2560;SE1765;SW1761;TP2018;TV2051;9
50195;SUCRE;AP1988;AT2105;;ES1974;IM3251;ME2713;SE2057;SW1985;TP4942;TV1997;9
50196;SUCRE;AP1789;AT1789;;ES1789;IM1789;ME2585;SE1789;SW1789;TP2074;TV1789;9
50197;SUCRE;AP1725;AT1725;;ES1725;IM3358;ME2519;SE1783;SW1725;TP1996;TV1725;9
50199;SUCRE;AP1714;AT1714;;ES1876;IM1714;ME2508;SE1714;SW1714;TP4918;TV1714;9
50200;SUCRE;AP1726;AT1726;;ES1726;;ME2528;SE1726;SW1726;TP1998;TV1726;8
50201;SUCRE;AP1924;AT1975;;ES2012;IM2013;ME2813;SE1930;SW1850;TP5013;TV1963;9
50202;SUCRE;AP1711;AT1711;;ES1711;IM1711;ME2506;SE1711;SW1711;TP1908;TV1711;9
50203;SUCRE;AP1837;AT1884;;ES1884;IM3570;ME2758;SE1884;SW1884;TP4915;TV1884;9
50204;SUCRE;AP1742;AT1742;;ES1742;IM1742;;SE1742;SW1742;;TV1742;7
50205;SUCRE;AP1746;AT1805;;ES1804;IM1746;ME3933;SE1805;SW1805;TP1805;TV1746;9
50206;SUCRE;AP1840;AT1901;;ES1840;IM1840;ME2801;SE1851;SW1840;TP4919;TV1840;9
50208;SUCRE;AP1743;AT1743;;ES1743;IM3604;ME2458;SE1743;SW1743;TP1367;TV1743;9
50211;BOLIVAR;AP2404;AT2277;;ES2187;IM3039;ME2972;SE2217;SW2377;TP2965;TV2384;9
50213;BOLIVAR;AP2444;AT2557;;ES2124;IM2224;ME3084;SE2177;SW2347;TP3382;TV2939;9
50215;CAUCA;AP2950;AT3137;;ES0217;IM0942;ME2011;SE1143;SW0933;TP3451;TV0746;9
50217;CAUCA;AP0715;AT3185;;ES3088;IM3293;ME3681;SE0715;SW0715;TP0904;TV0715;9
50218;CAUCA;AP0716;AT0716;;ES0716;IM3315;ME1394;SE0716;SW0716;TP0716;TV0716;9
50219;CAUCA;AP0506;AT0186;;ES0186;IM0186;ME1646;SE0186;SW0186;;TV0186;8
50220;CAUCA;AP0751;AT0751;;ES0751;IM0751;;SE0751;SW0751;TP0696;TV0751;8
50221;CAUCA;AP0456;AT2998;;ES0501;IM0732;;SE0732;SW0732;TP0607;TV0253;8
50222;CAUCA;AP0753;AT2942;;ES0759;IM0753;ME1527;SE0753;SW0753;TP3498;TV0753;9
50223;CAUCA;AP0754;AT0754;;ES3116;IM0754;ME1354;SE0754;SW0754;TP0754;TV0754;9
50224;CAUCA;AP0752;AT0752;;ES0752;;ME1397;SE0752;SW0752;TP0448;TV0752;8
50225;CAUCA;AP0186;AT0180;;ES0180;IM0722;ME1650;SE0180;SW0180;TP3268;TV0180;9
50226;CAUCA;AP0187;AT0181;EC0181;ES0181;IM0723;ME1636;SE0181;SW0181;TP0181;TV0181;10
50227;CAUCA;AP0717;AT0717;;ES0717;IM4009;ME3683;SE0717;SW0717;TP4018;TV0717;9
50228;META;AP2464;AT2464;;ES2464;IM2464;ME3211;SE2464;SW2464;TP2526;TV2464;9
50229;META;AP2543;AT2543;;ES2543;IM2543;ME3197;SE2543;SW2543;TP3224;TV2543;9
50231;META;AP2469;AT2469;;ES2506;IM2469;ME3199;SE2469;SW2469;TP2469;TV2469;9
50232;SUCRE;AP1724;AT1724;;ES1724;IM3188;ME2518;SE1782;SW1724;TP1994;TV1724;9
50233;SUCRE;AP1734;AT1734;;ES1734;IM1734;ME2521;SE1734;SW1734;TP2000;TV1734;9
50235;SUCRE;AP1784;AT1784;;ES1784;IM1784;ME2576;SE1793;SW1784;TP3485;TV1784;9
50236;SUCRE;AP1732;AT1732;;ES1732;IM1732;ME2523;SE1732;SW1732;TP1999;TV1732;9
50237;SUCRE;AP1823;AT1823;;ES1823;IM1823;;SE1796;SW1823;TP1965;TV1823;8
50238;SUCRE;AP1967;AT1828;;ES1827;IM3029;;SE1836;SW1828;;TV1828;7
50239;SUCRE;AP1880;AT1880;;ES2042;IM1880;ME2761;SE1880;SW1880;;;7
50240;SUCRE;AP1747;AT1747;;ES2473;IM1747;ME2544;SE1747;SW1747;;TV1747;8
50241;SUCRE;AP1858;AT1858;;ES1858;;ME2607;SE1858;SW1858;TP1858;TV2954;8
50242;SUCRE;AP1753;AT1753;;ES1753;IM1753;ME2545;SE1753;SW1753;;TV1753;8
50243;CAUCA;AP0044;AT0044;;ES0044;IM0044;ME3685;SE0044;SW0044;;TV0446;8
50244;CAUCA;AP0738;AT0738;;ES2897;IM0738;ME1602;SE0738;SW0738;TP0196;TV0738;9
50246;SUCRE;AP1787;AT1787;;ES1787;IM1787;ME2583;SE1787;SW1787;;TV1787;8
50248;VALLE DEL CAUCA;AP0865;AT1155;;ES1015;IM0925;ME2048;SE1125;SW0915;TP2794;TV0925;9
50249;VALLE DEL CAUCA;AP1085;AT1028;;ES1156;IM1106;;SE0858;SW1155;TP4334;TV1106;8
50250;VALLE DEL CAUCA;AP1084;AT1027;;ES1185;;ME1868;SE0857;SW1154;TP1127;TV0878;8
50251;VALLE DEL CAUCA;AP0880;AT1110;;ES1060;IM0910;ME3740;SE1150;SW1010;TP2792;TV1050;9
50253;VALLE DEL CAUCA;AP0943;AT0953;;ES1073;IM0995;ME1793;SE0933;SW0953;TP0935;TV0911;9
50254;VALLE DEL CAUCA;AP1005;AT1185;;ES0955;IM3234;ME1771;SE1101;SW1205;TP1005;TV1205;9
50255;VALLE DEL CAUCA;AP0908;AT1118;;ES1048;IM0998;ME2002;SE0918;SW0918;TP0948;TV0938;9
50256;VALLE DEL CAUCA;AP1176;AT1060;;ES1157;IM3602;ME0177;SE0859;SW0869;TP1006;TV1107;9
50259;BOLIVAR;AP2281;AT2230;;ES2410;IM2430;ME2915;SE2430;SW2180;TP1818;TV2430;9
50260;BOLIVAR;AP2155;AT2255;;ES2429;IM2455;ME3141;SE2455;SW2258;TP2155;TV2202;9
50262;BOLIVAR;AP2443;AT2158;;ES2123;IM2936;ME2890;SE2179;SW2348;TP2408;TV2258;9
50267;BOLIVAR;AP2442;AT2159;;ES2122;IM2222;ME2888;SE2176;SW2349;TP5200;TV2259;9
50269;BOLIVAR;AP2122;AT2432;;ES2352;IM3119;ME3043;SE2359;SW2419;TP2232;TV2329;9
50270;BOLIVAR;AP2120;AT2430;;ES2350;IM2160;ME3046;SE2363;SW2421;TP2230;TV2331;9
50271;BOLIVAR;AP2119;AT2429;;ES2349;IM3090;ME3139;SE2365;SW2422;TP3404;TV2332;9
50272;BOLIVAR;AP2244;AT2391;;ES2241;IM2262;ME3100;SE2296;SW2254;TP2361;TV2196;9
50287;CAUCA;AP0755;AT0755;;ES0755;IM2947;ME1243;SE0755;SW0755;TP0755;TV0755;9
50292;CAUCA;AP0030;AT0030;;ES0030;IM3392;;SE0030;SW0030;TP0447;TV0432;8
50296;CAUCA;AP0760;AT0760;;ES0760;IM0760;ME1038;SE0760;SW0760;TP0760;TV0760;9
50299;META;AP2507;AT2507;;ES2507;IM2507;ME3214;SE2507;SW2507;TP2507;TV2507;9
50301;META;AP2484;AT2484;;ES2484;IM2484;ME3233;SE2484;SW2484;TP2484;TV2484;9
50302;SUCRE;AP1762;AT1764;;ES1764;IM1762;ME2556;SE1764;SW1762;TP1763;TV2931;9
50304;SUCRE;AP1707;AT1707;;ES1707;;ME2509;SE1707;SW1707;TP2077;TV1707;8
50305;SUCRE;AP1890;AT1890;;;IM1890;ME2792;SE1890;SW1890;TP2094;TV1890;8
50306;SUCRE;AP1756;AT1756;;ES1756;IM1756;ME2554;SE1756;SW1756;TP4949;TV1756;9
50307;SUCRE;AP1888;AT1888;;ES1888;IM1888;ME2788;SE1888;SW1888;TP2010;TV1888;9
50308;SUCRE;AP1868;AT3059;;ES1950;IM1868;ME2783;SE1868;SW1868;TP2052;TV1868;9
50309;SUCRE;AP1879;AT1879;;ES1879;IM1879;ME2760;SE1879;SW1879;TP4936;TV1879;9
50310;SUCRE;AP1956;AT2056;;ES2032;IM2032;ME2834;SE1960;SW1931;TP4948;TV1912;9
50311;SUCRE;AP1788;AT1788;;ES1788;IM1788;ME3914;SE1788;SW1788;TP2032;TV1788;9
50312;SUCRE;AP1710;AT1710;;ES1710;IM1710;ME2504;SE1710;SW1710;TP4896;TV1710;9
50314;SUCRE;AP1917;AT1968;;ES2006;IM2006;ME2818;SE1923;SW1843;TP4894;TV1956;9
50315;SUCRE;AP1709;AT1709;;ES1709;IM1709;ME2695;SE1709;SW1709;;TV1709;8
50317;SUCRE;AP1963;AT1836;;ES2043;;ME2779;SE1954;SW1951;TP3459;TV1932;8
50318;SUCRE;AP1869;AT1869;;;IM3108;ME3921;SE1869;SW1869;TP2050;TV1869;8
50319;SUCRE;AP2879;AT1895;;ES1895;IM1895;ME3935;SE1895;SW1895;;TV1895;8
50320;SUCRE;AP1862;AT1862;;ES1862;IM1862;ME3924;SE1862;SW1862;TP2045;TV1999;9
50329;CAUCA;AP0669;AT0635;;ES0100;IM0389;ME1178;SE0482;SW0661;TP0515;TV0309;9
50332;VALLE DEL CAUCA;AP1004;AT1184;;ES0953;IM0904;ME1776;SE1100;SW1204;TP1004;TV1204;9
50333;VALLE DEL CAUCA;AP0970;AT1190;;ES0921;IM0870;ME1984;SE1075;SW1170;TP0971;TV1170;9
50334;VALLE DEL CAUCA;AP1173;AT1103;;ES0903;IM1143;ME3731;SE1089;SW0903;TP3286;TV1143;9
50335;VALLE DEL CAUCA;AP0998;AT1178;;ES3090;IM0898;ME3706;SE1094;SW1198;TP0997;TV1198;9
50336;VALLE DEL CAUCA;AP0864;AT1154;;ES1014;IM0924;ME2047;SE1124;SW0914;TP0913;TV0924;9
50337;VALLE DEL CAUCA;AP0863;AT1153;;ES1013;IM0923;ME2046;SE1123;SW0913;TP2814;TV0923;9
50339;BOLIVAR;AP2451;AT2185;;ES2160;IM2234;ME3843;SE2250;SW2400;TP2343;TV2289;9
50340;BOLIVAR;AP2251;AT2361;;ES2403;IM3158;ME2979;SE2303;SW2264;TP2310;TV2452;9
50341;BOLIVAR;AP2209;AT2106;;ES2246;IM2351;ME3074;SE2302;SW2219;TP2309;TV2451;9
50342;BOLIVAR;AP2361;AT2261;;ES2171;IM2241;ME2956;SE2211;SW2361;TP2271;TV2361;9
50343;BOLIVAR;AP2408;AT2188;;ES2138;;ME3856;SE2158;SW2308;TP2288;TV2404;8
50347;BOLIVAR;AP2364;AT2264;;ES2174;IM2244;ME2959;SE2214;SW2364;;TV2971;8
50348;BOLIVAR;AP2356;AT2256;;ES2166;IM2255;ME2951;SE2206;SW2356;TP2266;TV2356;9
50349;BOLIVAR;AP2415;AT3010;;ES2145;IM3338;ME2864;SE2165;SW2315;;TV2395;8
50350;BOLIVAR;AP2226;AT2383;;ES2432;IM2265;ME3086;SE2274;SW2237;TP3159;TV2179;9
50351;BOLIVAR;AP2146;AT2346;;ES2316;IM3506;ME2995;SE2146;SW2136;TP2164;TV2216;9
50352;BOLIVAR;;AT2177;;;IM2227;ME3102;SE2237;SW2147;TP2895;TV2277;7
